Fault,Index,Long,Lat,Transv. Ob.,Normal Ob.,Transv. Unc.,Normal Unc.,Correlation,Transv. Pred.,Normal Pred.,Transv. Unc.,Normal Unc.,Correlation
Puysegur,1,164.748324,-47.420925,9.235,-23.842,102.272,102.272,0.000,18.044,-22.149,12.270,4.827,0.594
Alpine: Resolution - Five Fingers,2,165.83246,-45.830853,31.400,0.000,2.800,4.040,0.000,30.924,-3.797,2.896,2.713,-0.448
Puysegur Ridge,3,164.819842,-48.640131,14.000,0.000,14.000,1.400,0.000,6.885,-0.129,12.608,1.425,0.037
Snares,4,165.226945,-47.49443,10.336,-1.287,10.347,4.003,-0.278,10.758,-0.953,8.201,3.415,-0.008
West Balleny,5,165.723413,-46.674952,1.880,-0.177,1.880,0.528,-0.312,2.007,-0.175,2.020,0.462,-0.301
Alpine: Resolution - Five Fingers,6,166.204581,-45.595759,31.400,0.000,2.800,4.040,0.000,30.959,-2.264,2.782,4.364,-0.219
Alpine: Resolution - Dagg,7,166.727713,-45.223858,31.400,0.000,2.800,4.040,0.000,31.153,-3.227,2.151,1.988,-0.535
Alpine: Caswell,8,167.082757,-44.973158,31.400,0.000,2.800,4.040,0.000,30.754,-3.535,2.361,3.387,-0.546
Alpine: Caswell - South George,9,167.330554,-44.797651,27.200,0.000,2.400,3.500,0.000,26.833,-1.742,2.385,3.204,-0.012
Alpine: George to Jacksons,10,168.144271,-44.35294,27.200,0.000,4.900,3.500,0.000,26.588,-1.070,6.045,3.494,-0.121
Alpine: Jacksons to Kaniere,11,170.148807,-43.402998,25.372,-5.936,6.905,7.425,0.036,31.294,-4.594,6.895,1.535,-0.707
South Wedge 5,12,166.101187,-45.310274,1.026,-2.555,1.345,1.574,-0.151,0.960,-2.873,1.302,1.640,-0.510
Central Wedge 4 - South Wedge 411,13,166.485195,-44.997274,0.000,-2.719,1.364,1.560,0.000,0.021,-2.620,1.261,1.577,-0.051
Central Wedge 1 & 2 & 3,14,166.741739,-44.73417,0.000,-0.363,0.182,0.208,0.000,-0.002,-0.370,0.150,0.251,0.246
Caswell High 10,15,166.855681,-44.63135,0.000,-0.400,0.614,0.310,0.000,-0.025,-0.398,0.528,0.304,-0.030
South Wedge 2,16,166.559926,-45.115569,1.026,-2.555,1.429,1.982,-0.319,1.153,-2.932,1.441,2.082,-0.475
Hauroko: South,17,166.912741,-46.257847,0.103,-0.097,0.236,0.246,0.656,0.119,-0.089,0.255,0.243,0.761
Milford Basin 5 to George R2,18,167.234956,-44.436511,0.000,-0.200,0.308,0.130,0.000,-0.013,-0.203,0.351,0.149,0.018
Madagascar,19,167.586375,-44.351168,0.256,-0.610,0.341,0.355,-0.041,0.251,-0.595,0.321,0.335,-0.022
Barn,20,168.352163,-43.934862,0.171,-0.407,0.287,0.418,-0.393,0.151,-0.360,0.236,0.395,-0.374
Hauroko: North,21,167.452193,-45.84667,0.410,-0.386,0.902,0.947,0.787,0.483,-0.307,0.595,0.475,0.542
Hump Ridge,22,167.407404,-46.434781,0.469,-0.058,0.470,0.158,-0.333,-0.256,0.064,0.262,0.163,-0.145
Te Anau,23,167.82952,-45.097194,0.171,-0.161,0.387,0.404,0.701,0.182,-0.165,0.487,0.468,0.743
Tin Hut,24,167.972466,-45.776056,0.171,-0.235,0.310,0.284,0.280,0.111,-0.178,0.308,0.273,0.224
Tin Hut,25,167.982434,-45.689326,0.171,-0.235,0.310,0.284,0.280,0.125,-0.221,0.385,0.291,0.370
Mossburn,26,168.162404,-45.715408,0.171,-0.235,0.310,0.284,0.280,0.226,-0.262,0.277,0.249,0.133
Acton,27,168.322335,-45.512115,0.068,-0.094,0.129,0.123,0.150,0.070,-0.059,0.103,0.121,0.068
White Hill,28,168.274809,-45.845218,0.068,-0.094,0.129,0.123,0.150,0.046,-0.093,0.111,0.114,0.035
Acton,29,168.306058,-45.675315,0.068,-0.094,0.129,0.123,0.150,0.053,-0.059,0.127,0.131,-0.176
NW Cardrona North,30,169.070858,-44.799238,0.130,-0.179,0.240,0.196,0.640,0.072,-0.220,0.219,0.192,0.535
NW Cardrona South,31,168.932628,-44.98592,0.130,-0.179,0.240,0.196,0.640,-0.027,-0.293,0.215,0.190,0.547
Nevis,32,168.85806,-45.347493,0.137,-0.266,0.217,0.191,0.184,0.187,-0.164,0.213,0.179,0.027
NW Cardrona North,33,169.114511,-44.711904,0.130,-0.179,0.240,0.196,0.640,0.087,-0.181,0.191,0.161,0.585
Cardrona - Hawea,34,169.209828,-44.645322,0.017,-0.023,0.035,0.032,0.252,0.016,-0.024,0.030,0.033,0.366
Hunter Valley,35,169.426932,-44.318868,0.109,-0.150,0.217,0.197,0.300,0.084,-0.068,0.173,0.197,0.017
Spylaw,36,169.215799,-45.795684,0.000,-0.184,0.146,0.080,0.000,0.060,-0.170,0.157,0.079,-0.274
Dunstan,37,169.576,-45.008128,0.000,-0.354,0.282,0.354,0.000,-0.048,-0.379,0.173,0.325,-0.021
Timaru Creek,38,169.518334,-44.513567,0.109,-0.150,0.221,0.206,0.231,0.085,-0.188,0.230,0.200,0.205
Blue Mountain,39,169.377315,-45.857864,0.000,-0.156,0.124,0.146,0.000,-0.031,-0.152,0.141,0.125,0.213
Hopkins,40,169.811705,-43.986435,0.154,-0.212,0.298,0.262,0.401,0.162,-0.187,0.240,0.249,0.277
Dromedary,41,169.68397,-44.423383,0.171,-0.235,0.346,0.321,0.230,0.204,-0.115,0.381,0.357,0.308
Raggedy - Blackstone,42,169.782588,-45.046536,0.048,-0.093,0.085,0.098,-0.196,0.046,-0.088,0.090,0.105,-0.304
Long Valley,43,169.70243,-45.381024,0.068,-0.094,0.138,0.128,0.228,0.058,-0.088,0.157,0.124,-0.066
Rocks Creek,44,169.909424,-44.756331,0.068,-0.094,0.136,0.124,0.275,0.050,-0.105,0.159,0.132,0.355
Omarama Saddle,45,169.826842,-44.706976,0.068,-0.094,0.136,0.124,0.275,0.052,-0.075,0.147,0.100,0.119
Omarama Saddle,46,169.845389,-44.843016,0.068,-0.094,0.136,0.124,0.275,0.072,-0.090,0.143,0.107,0.203
Ostler North,47,170.084764,-44.049797,0.000,-1.414,1.126,0.792,0.000,-0.433,-1.286,0.816,0.664,0.065
Ostler South,48,169.952536,-44.394333,0.000,-1.414,1.126,0.792,0.000,-0.561,-0.733,0.501,0.384,0.246
Hawkdun,49,169.874801,-44.564931,0.024,-0.023,0.045,0.047,0.484,0.025,-0.021,0.035,0.050,0.438
Hawkdun,50,169.892706,-44.61157,0.024,-0.023,0.045,0.047,0.484,0.025,-0.020,0.055,0.052,0.443
Gimmerburn,51,169.962263,-45.129287,0.137,-0.266,0.233,0.250,-0.101,0.127,-0.213,0.203,0.174,-0.417
Hyde South - The Twins,52,169.860981,-45.696029,0.044,-0.086,0.071,0.060,0.224,0.048,-0.075,0.074,0.060,0.345
Hyde North,53,170.093765,-45.482278,0.086,-0.166,0.136,0.117,0.206,0.064,-0.125,0.089,0.070,-0.102
Hawkdun,54,169.952323,-44.769528,0.024,-0.023,0.045,0.047,0.484,0.021,-0.025,0.048,0.047,0.418
Fern Gully,55,170.110565,-44.586446,-0.517,-0.049,0.204,0.139,0.075,-0.493,-0.016,0.195,0.091,0.232
Hawkdun,56,170.025204,-44.904702,0.024,-0.023,0.045,0.047,0.484,0.023,-0.025,0.046,0.046,0.513
Akatore,57,170.160951,-46.107992,0.411,-0.798,0.731,0.856,-0.223,-0.013,-0.050,0.282,0.213,0.002
Green Island,58,170.363444,-45.97563,0.411,-0.798,0.731,0.856,-0.223,0.183,-0.028,0.509,0.122,-0.424
Waihemo,59,170.435571,-45.201766,-0.041,-0.038,0.076,0.079,-0.546,-0.039,-0.033,0.086,0.068,-0.518
Irishman Creek,60,170.346047,-43.988207,0.270,-0.525,0.429,0.371,0.203,0.290,-0.503,0.456,0.393,-0.237
Waitangi,61,170.343515,-44.640932,0.058,-0.054,0.108,0.111,0.542,0.083,-0.026,0.105,0.121,0.507
Awahokomo,62,170.393052,-44.726933,0.198,-0.272,0.399,0.367,0.257,0.212,-0.229,0.326,0.305,0.348
Kirkliston,63,170.607716,-44.503615,0.051,-0.090,0.090,0.097,-0.129,0.057,-0.077,0.102,0.089,-0.067
Dalgety,64,170.639629,-44.208194,0.089,-0.122,0.168,0.160,0.145,0.089,-0.109,0.137,0.173,0.221
Fox Peak,65,170.745154,-43.960536,0.308,-0.598,0.500,0.583,-0.217,0.232,-0.565,0.443,0.542,-0.251
Opawa,66,170.707523,-44.130014,0.022,-0.031,0.042,0.040,0.139,0.023,-0.030,0.043,0.038,0.042
Hunters,67,170.930724,-44.497079,0.045,-0.061,0.084,0.080,0.139,0.045,-0.053,0.070,0.071,0.307
Ben McLeod,68,170.942178,-43.686921,0.000,-0.636,0.508,0.636,0.000,-0.001,-0.610,0.416,0.650,-0.225
