Fault,Index,Long.,Lat.,Transv. Ob.,Normal Ob.,Transv. Unc.,Normal Unc.,Correlation,Transv. Pred.,Normal Pred.,Transv. Unc.,Normal Unc.,Correlation
Puysegur,1,164.762784,-47.32004,11.411,-22.994,102.68,102.68,0,21.543,-26.078,12.973,11.475,-0.798
Puysegur Ridge,2,164.789533,-48.612746,14,0,14,1.188,0,9.702,0.001,10.37,0.974,0.282
Snares,3,165.228499,-47.296724,9.526,-1.881,9.619,7.007,-0.132,10.895,-1.96,7.864,7.996,-0.302
Puysegur Ridge,4,165.334088,-47.748418,14,0,14,1.188,0,0.978,0.027,2.989,1.263,-0.076
Alpine Resolution,5,166.584547,-45.328664,31.28,0.475,3.028,3.116,-0.001,31.227,-0.326,2.46,3.518,-0.13
Alpine Caswell to Milford,6,167.516999,-44.700773,27.097,0.412,2.598,2.698,-0.001,27.607,0.052,2.285,2.253,-0.014
Alpine Milford to Jacksons,7,168.315187,-44.260007,22.912,0.348,2.166,2.282,-0.002,22.697,-0.086,1.833,2.353,-0.129
Alpine Jacksons to Kaniere,8,170.223662,-43.362919,26.308,-3.904,5.949,5.803,-0.008,28.791,-2.293,5.329,4.717,-0.421
Fiordland South Wedge,9,165.931278,-45.599298,0,-2.719,0.788,1.56,0,0.023,-3.113,0.792,1.614,0.006
Fiordland Central Wedge,10,166.94375,-44.610417,0,-2.719,0.788,1.56,0,-0.192,-4.16,0.872,1.381,-0.132
Madagascar,11,167.802745,-44.221303,0,-0.375,0.314,0.22,0,-0.01,-0.376,0.335,0.24,0.033
Barn,12,168.324323,-43.946929,0.25,-0.375,0.358,0.412,-0.339,0.239,-0.378,0.341,0.36,-0.369
West Balleny,13,165.723413,-46.674952,2,0,2,0.308,0,1.186,-0.002,1.629,0.261,0.261
Tauru,14,166.246727,-47.209156,0,-0.129,0.176,0.098,0,0.077,-0.152,0.162,0.091,0.041
Five Fingers,15,166.370976,-45.805023,0,0.052,0.322,0.044,0,0.014,0.029,0.134,0.027,0.041
Hauroko South,16,166.962188,-46.246593,0.15,-0.089,0.208,0.26,0.408,0.234,0.058,0.204,0.312,0.467
Spey-Mica Burn,17,167.213521,-45.552327,0.071,-0.018,0.073,0.066,-0.049,0.071,-0.021,0.076,0.061,-0.257
Moonlight North,18,168.617285,-44.865103,0.5,-0.076,0.505,0.453,-0.033,0.384,-0.042,0.501,0.292,0.145
Moonlight South,19,167.995981,-45.505279,0.5,-0.076,0.505,0.453,-0.033,0.518,-0.158,0.441,0.419,0.226
Hauroko North,20,167.441802,-45.855554,0.6,-0.355,0.76,1.019,0.542,0.727,-0.152,0.811,0.847,0.393
Hump Ridge,21,167.475307,-46.509741,0.433,-0.085,0.435,0.232,-0.275,0.14,-0.056,0.413,0.202,-0.389
Te Anau,22,167.82952,-45.097194,0.25,-0.148,0.345,0.432,0.411,0.275,-0.089,0.347,0.443,0.509
Hokonui,23,168.668892,-45.9721,0,-0.354,0.158,0.234,0,0.069,-0.173,0.15,0.184,0.082
Nevis,24,168.894702,-45.28534,0,-0.283,0.126,0.194,0,0.036,-0.244,0.156,0.17,-0.315
Spylaw,25,169.11814,-45.830763,0,-0.198,0.088,0.164,0,-0.003,-0.165,0.087,0.158,-0.501
Cardrona North,26,169.210398,-44.663494,0.171,-0.168,0.246,0.246,0.049,0.168,-0.164,0.258,0.235,0.367
Cardrona South,27,169.000041,-44.87405,0.171,-0.168,0.246,0.246,0.049,0.181,-0.247,0.306,0.288,0.118
Pisa,28,169.222096,-44.965866,0,-0.071,0.032,0.071,0,-0.002,-0.072,0.035,0.07,-0.164
Old Man,29,169.301136,-45.506823,0,-0.007,0.004,0.004,0,0,-0.007,0.004,0.004,0.014
Blue Mountains,30,169.423473,-45.824642,0,-0.198,0.088,0.11,0,-0.021,-0.198,0.09,0.114,-0.162
Hunter,31,169.46322,-44.272177,0.294,-0.404,2.372,3.241,-0.983,0.04,-0.064,0.604,0.862,-0.874
Grandview,32,169.308873,-44.707822,0,-0.05,0.042,0.05,0,0.002,-0.045,0.039,0.047,-0.075
Dunstan,33,169.530249,-45.03211,0,-0.636,0.284,0.56,0,-0.059,-0.118,0.262,0.423,0.046
Ahuriri River,34,169.631896,-44.332807,0.25,-0.306,0.42,0.412,0.096,0.288,-0.255,0.422,0.461,0.047
Lindis Pass,35,169.628733,-44.663413,0.235,-0.106,0.302,0.436,0.421,0.331,0.079,0.338,0.428,0.573
Pisa,36,169.388294,-44.813948,0,-0.071,0.032,0.071,0,0.002,-0.07,0.031,0.088,-0.065
Raggedy,37,169.781455,-45.058962,0,-0.099,0.044,0.092,0,0.005,-0.085,0.035,0.094,0.266
Blue Lake,38,169.820738,-44.860906,0.213,-0.143,0.28,0.305,0.211,0.069,-0.184,0.282,0.379,0.213
Waipiata,39,169.979441,-45.351267,0,-0.354,0.158,0.354,0,0.035,0.165,0.159,0.292,-0.071
Blue Lake,40,169.727289,-44.725,0.213,-0.143,0.28,0.305,0.211,0.148,-0.146,0.329,0.311,0.356
Ostler,41,169.992136,-44.354236,0,-0.898,0.402,0.77,0,-0.096,-0.44,0.444,0.771,0.189
Gimmerburn,42,169.924388,-45.215598,0,-0.247,0.11,0.247,0,0.007,-0.149,0.103,0.207,0.067
Hyde,43,170.113864,-45.466007,0,-0.502,0.224,0.502,0,0.006,0.041,0.243,0.397,-0.274
Akatore,44,170.175144,-46.104452,0,-0.038,0.014,0.012,0,0,-0.036,0.013,0.01,0.11
